"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.08.2021","45,50","45,04","45,50","44,75","3,26K","1,90%"
"17.08.2021","44,65","44,93","45,12","44,44","9,08K","-0,51%"
"16.08.2021","44,88","44,60","44,89","44,48","5,28K","1,20%"
"13.08.2021","44,35","43,96","44,56","43,96","1,29K","1,33%"
"12.08.2021","43,77","43,68","43,84","43,45","3,12K","0,21%"
"11.08.2021","43,68","43,24","43,68","43,24","0,30K","1,98%"
"10.08.2021","42,83","43,10","43,15","42,79","1,02K","-0,95%"
"09.08.2021","43,24","43,88","43,88","42,92","7,56K","-1,66%"
"06.08.2021","43,97","44,88","44,88","43,76","3,57K","-2,03%"
"05.08.2021","44,88","44,50","44,88","43,90","4,15K","0,27%"
"04.08.2021","44,76","45,11","45,13","44,76","12,37K","0,27%"
"03.08.2021","44,64","45,24","45,50","44,64","2,35K","0,09%"
"02.08.2021","44,60","44,50","44,64","44,25","2,84K","-0,93%"
"30.07.2021","45,02","44,43","45,02","44,25","2,95K","1,74%"
"29.07.2021","44,25","44,28","44,40","43,96","1,73K","0,34%"
"28.07.2021","44,10","44,27","44,44","43,97","8,45K","-0,74%"
"27.07.2021","44,43","44,34","44,53","44,08","2,26K","0,16%"
"26.07.2021","44,36","44,76","44,76","44,20","2,43K","-0,89%"
"23.07.2021","44,76","44,85","44,87","44,24","2,36K","-0,27%"
"22.07.2021","44,88","44,61","44,88","44,52","0,62K","0,83%"
"21.07.2021","44,51","44,95","45,24","44,51","21,20K","-1,79%"
"20.07.2021","45,32","45,70","45,95","44,80","1,79K","0,07%"
"19.07.2021","45,29","44,83","45,30","44,56","6,91K","2,51%"
"16.07.2021","44,18","44,37","44,56","43,80","28,71K","-1,30%"
"15.07.2021","44,76","44,35","44,77","44,08","1,45K","1,27%"
"14.07.2021","44,20","44,52","44,52","44,00","16,74K","-0,79%"
"13.07.2021","44,55","44,72","44,85","44,44","0,66K","0,09%"
"12.07.2021","44,51","45,09","45,11","44,51","8,55K","-1,29%"
"08.07.2021","45,09","45,57","45,63","44,67","19,65K","0,11%"
"07.07.2021","45,04","44,70","45,30","44,64","1,83K","0,90%"
"06.07.2021","44,64","43,90","44,65","43,90","17,64K","2,74%"
"05.07.2021","43,45","43,44","43,45","43,05","1,58K","0,93%"
"02.07.2021","43,05","42,69","43,15","42,66","5,39K","-0,90%"
"01.07.2021","43,44","42,08","43,44","41,99","3,50K","3,53%"
"30.06.2021","41,96","41,52","42,28","41,52","4,98K","1,16%"
"29.06.2021","41,48","41,43","41,56","41,34","10,49K","-0,48%"
"28.06.2021","41,68","41,50","42,09","41,50","4,86K","-0,53%"
"25.06.2021","41,90","41,92","42,10","41,69","4,50K","0,96%"
"24.06.2021","41,50","41,96","42,16","41,50","15,45K","-1,12%"
"23.06.2021","41,97","42,15","42,52","41,97","11,71K","-0,26%"
"22.06.2021","42,08","42,80","42,80","42,08","4,48K","-1,45%"
"21.06.2021","42,70","42,80","42,90","42,63","12,31K","-0,23%"
"18.06.2021","42,80","42,48","42,88","42,21","39,15K","0,71%"
"17.06.2021","42,50","43,77","43,77","42,31","9,78K","-3,74%"
"16.06.2021","44,15","44,72","44,72","44,12","7,32K","-1,27%"
"15.06.2021","44,72","45,28","45,31","44,59","3,13K","-0,95%"
"14.06.2021","45,15","44,98","45,28","44,72","8,15K","-1,53%"
"11.06.2021","45,85","45,78","46,09","45,67","5,60K","0,17%"
"10.06.2021","45,77","45,50","45,95","45,40","4,06K","0,26%"
"09.06.2021","45,65","45,50","45,84","45,49","4,10K","0,33%"
"08.06.2021","45,50","45,57","45,72","45,30","42,05K","-0,28%"
"07.06.2021","45,63","45,50","45,68","45,39","5,12K","-0,67%"
"04.06.2021","45,94","45,91","45,94","45,37","46,76K","-0,58%"
"02.06.2021","46,21","46,77","47,00","46,06","26,13K","-0,92%"
"01.06.2021","46,64","47,52","47,52","46,58","19,88K","-2,35%"
"31.05.2021","47,76","49,25","49,25","47,57","2,57K","0,40%"
"28.05.2021","47,57","47,51","48,51","46,89","0,94K","0,15%"
"27.05.2021","47,50","47,80","47,87","47,50","1,80K","-1,12%"
"26.05.2021","48,04","48,34","48,53","47,99","7,40K","-0,74%"
"25.05.2021","48,40","47,54","48,40","47,54","4,53K","1,17%"
"24.05.2021","47,84","47,50","47,84","47,00","4,45K","-0,40%"
