Data	Fechamento	Variação	Variação (%)	Abertura	Máxima	Mínima	Volume
17 Ago 2021	103,65	0,4	0,39%	103,65	103,65	103,65	10000
16 Ago 2021	103,25	-0,4	-0,39%	101,99	103,25	101,84	48857
13 Ago 2021	103,65	-0,65	-0,62%	103,65	103,65	103,65	10000
12 Ago 2021	104,3	-0,05	-0,05%	104,64	104,64	104,3	12380
11 Ago 2021	104,35	-0,2	-0,19%	104,66	104,66	104,35	5001
10 Ago 2021	104,55	-0,05	-0,05%	104,65	104,65	104,42	7582
09 Ago 2021	104,6	-0,4	-0,38%	104,6	104,6	104,6	5000
06 Ago 2021	105	0,3	0,29%	105	105	105	5000
05 Ago 2021	104,7	-0,9	-0,85%	105,84	105,84	104,7	1370
04 Ago 2021	105,6	-0,05	-0,05%	105,6	105,6	105,6	1000
03 Ago 2021	105,65	0,2	0,19%	105,65	105,65	105,65	5000
02 Ago 2021	105,45	0,05	0,05%	105,45	105,45	105,45	3000
30 Jul 2021	105,4	-0,7	-0,66%	105,4	105,4	105,4	6000
29 Jul 2021	106,1	-0,05	-0,05%	106,1	106,1	106,1	37000
28 Jul 2021	106,15	0,2	0,19%	106,15	106,15	106,15	10000
27 Jul 2021	105,95	-0,9	-0,84%	105,95	105,95	105,95	2000
26 Jul 2021	106,85	0	0,0%	106,85	106,85	106,85	12000
23 Jul 2021	106,85	-0,45	-0,42%	106,76	106,85	106,76	4010
22 Jul 2021	107,3	0,07	0,07%	107,36	107,36	107,3	8004
21 Jul 2021	107,23	0,33	0,31%	107,23	107,23	107,23	4000
20 Jul 2021	106,9	0,25	0,23%	106,9	106,9	106,9	5000
19 Jul 2021	106,65	0,05	0,05%	106,65	106,65	106,65	4000
16 Jul 2021	106,6	0	+0,00%	106,6	106,6	106,6	0
16 Jul 2021	106,6	0,4	0,38%	106,6	106,6	106,6	4000
15 Jul 2021	106,2	0	0,0%	106,39	106,39	106,2	19350
14 Jul 2021	106,2	0,6	0,57%	106,54	106,54	105,83	13374
13 Jul 2021	105,6	-0,7	-0,66%	105,91	105,91	105,38	10075
12 Jul 2021	106,3	0,4	0,38%	105,9	106,3	105,9	5422
09 Jul 2021	105,9	0	+0,00%	105,9	105,9	105,9	0
08 Jul 2021	105,9	-0,05	-0,05%	105,9	105,9	105,9	2000
07 Jul 2021	105,95	-0,05	-0,05%	106,35	106,35	105,95	8200
06 Jul 2021	106	0,1	0,09%	106	106	106	7000
05 Jul 2021	105,9	-0,15	-0,14%	105,9	105,9	105,9	10000
02 Jul 2021	106,05	0,15	0,14%	106,3	106,3	106,05	7262
01 Jul 2021	105,9	0,4	0,38%	105,9	105,9	105,9	15000
30 Jun 2021	105,5	-0,35	-0,33%	105,5	105,5	105,5	3000
29 Jun 2021	105,85	0,15	0,14%	105,85	105,85	105,85	7000
28 Jun 2021	105,7	0,1	0,09%	105,7	105,7	105,7	13000
25 Jun 2021	105,6	0,1	0,09%	105,6	105,6	105,6	7000
24 Jun 2021	105,5	0,4	0,38%	105,5	105,5	105,5	5000
23 Jun 2021	105,1	0	0,0%	105,1	105,1	105,1	7000
22 Jun 2021	105,1	-0,3	-0,28%	105,1	105,1	105,1	2000
21 Jun 2021	105,4	0,6	0,57%	105,4	105,4	105,4	2000
18 Jun 2021	104,8	-1,25	-1,18%	105,7	105,7	104,8	3048
17 Jun 2021	106,05	-0,4	-0,38%	106,4	106,4	106,05	7047
16 Jun 2021	106,45	0,05	0,05%	106,45	106,45	106,45	22000
15 Jun 2021	106,4	-0,12	-0,11%	106,15	106,68	106,15	46291
14 Jun 2021	106,52	-0,05	-0,05%	106,52	106,52	106,52	10001
11 Jun 2021	106,57	0,12	0,11%	106,57	106,57	106,57	10638
10 Jun 2021	106,45	-0,6	-0,56%	107,05	107,05	106,45	15005
09 Jun 2021	107,05	0,55	0,52%	107,16	107,16	107,05	2005
08 Jun 2021	106,5	0,08	0,08%	106,97	106,97	106,5	8266
07 Jun 2021	106,42	-0,33	-0,31%	106,87	106,87	106,42	12001
04 Jun 2021	106,75	0,8	0,76%	106,95	106,95	106,75	12900
03 Jun 2021	105,95	0	+0,00%	106,27	106,27	105,95	0
02 Jun 2021	105,95	0,3	0,28%	106,27	106,27	105,95	10345
01 Jun 2021	105,65	0,3	0,28%	105,65	105,65	105,65	15000
31 Mai 2021	105,35	0,05	0,05%	105,35	105,35	105,35	1000
28 Mai 2021	105,3	0,4	0,38%	105,3	105,3	105,3	5000
27 Mai 2021	104,9	0,25	0,24%	104,9	104,9	104,9	8000
26 Mai 2021	104,65	-0,06	-0,06%	104,65	104,65	104,65	6000
25 Mai 2021	104,71	0,06	0,06%	104,71	104,71	104,71	20000
24 Mai 2021	104,65	-0,15	-0,14%	104,65	104,65	104,65	23000
21 Mai 2021	104,8	-0,2	-0,19%	104,85	104,85	104,8	10100
20 Mai 2021	105	1,15	1,11%	105	105	105	3000
19 Mai 2021	103,85	0	+0,00%	103,85	103,85	103,85	0
19 Mai 2021	103,85	-0,65	-0,62%	103,85	103,85	103,85	14000
18 Mai 2021	104,5	-0,3	-0,29%	104,95	104,95	104,5	45000
17 Mai 2021	104,8	0,05	0,05%	104,8	104,8	104,8	5000
14 Mai 2021	104,75	0,35	0,34%	105,01	105,01	104,45	39886
13 Mai 2021	104,4	0,2	0,19%	104,4	104,4	104,4	10000
12 Mai 2021	104,2	-0,5	-0,48%	104,74	104,74	104,2	37003
11 Mai 2021	104,7	0,6	0,58%	104,7	104,7	104,7	15000
10 Mai 2021	104,1	-0,05	-0,05%	104,1	104,1	104,1	20000
07 Mai 2021	104,15	0,45	0,43%	104,15	104,15	103,9	5393
06 Mai 2021	103,7	0	0,0%	103,6	103,7	103,6	20280
05 Mai 2021	103,7	0,16	0,15%	103,9	103,9	103,7	13134
04 Mai 2021	103,54	-0,51	-0,49%	104,06	104,06	103,54	17314
03 Mai 2021	104,05	-0,25	-0,24%	104,05	104,05	104,05	5000
30 Abr 2021	104,3	-0,35	-0,33%	104,3	104,3	104,3	7000
29 Abr 2021	104,65	0	0,0%	104,41	104,65	104,41	19920
28 Abr 2021	104,65	0,1	0,1%	104,65	104,65	104,65	15000
27 Abr 2021	104,55	0,2	0,19%	105	105	104,55	1476
26 Abr 2021	104,35	0	0,0%	104,35	104,35	104,35	20000
23 Abr 2021	104,35	0,25	0,24%	104,35	104,35	104,35	20000
22 Abr 2021	104,1	0,45	0,43%	104,1	104,1	104,1	10000
21 Abr 2021	103,65	0	+0,00%	103,65	103,65	103,65	0
20 Abr 2021	103,65	-0,5	-0,48%	103,65	103,65	103,65	20000
19 Abr 2021	104,15	0,15	0,14%	104,26	104,26	104,15	21250
16 Abr 2021	104	0,4	0,39%	104	104	104	20000
15 Abr 2021	103,6	0,55	0,53%	103,91	103,91	103,6	16000
14 Abr 2021	103,05	0,05	0,05%	103,48	103,48	103,05	20480
13 Abr 2021	103	-0,4	-0,39%	103	103	103	10000
12 Abr 2021	103,4	-0,05	-0,05%	103,82	103,82	103,4	5131
09 Abr 2021	103,45	-0,6	-0,58%	103,9	103,9	103,45	10009
08 Abr 2021	104,05	0,95	0,92%	104,05	104,05	104,05	5000
07 Abr 2021	103,1	-0,15	-0,15%	103,65	103,65	103,1	5263
