"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.08.2021","10,220","10,020","10,230","10,020","1,34M","1,59%"
"17.08.2021","10,060","10,000","10,100","9,910","6,88M","-0,40%"
"16.08.2021","10,100","9,980","10,120","9,380","7,38M","1,20%"
"13.08.2021","9,980","9,850","10,000","9,850","240,80K","1,32%"
"12.08.2021","9,850","9,840","9,850","9,730","1,02M","0,31%"
"11.08.2021","9,820","9,610","9,820","9,610","2,41M","2,19%"
"10.08.2021","9,610","9,710","9,720","9,610","1,42M","-0,72%"
"09.08.2021","9,680","9,880","9,880","9,630","963,61K","-2,02%"
"06.08.2021","9,880","10,060","10,060","9,830","1,75M","-1,98%"
"05.08.2021","10,080","10,040","10,100","9,860","1,42M","0,00%"
"04.08.2021","10,080","10,110","10,200","10,050","1,65M","0,20%"
"03.08.2021","10,060","10,130","10,230","10,050","1,47M","-0,30%"
"02.08.2021","10,090","10,080","10,090","9,920","1,41M","-0,30%"
"30.07.2021","10,120","9,960","10,130","9,940","2,42M","1,71%"
"29.07.2021","9,950","9,950","9,970","9,880","2,40M","0,40%"
"28.07.2021","9,910","9,940","9,990","9,870","533,55K","-0,30%"
"27.07.2021","9,940","10,000","10,030","9,910","423,62K","-0,40%"
"26.07.2021","9,980","10,070","10,080","9,930","633,02K","-0,50%"
"23.07.2021","10,030","10,040","10,080","9,940","429,32K","-0,50%"
"22.07.2021","10,080","10,020","10,120","10,000","1,16M","0,80%"
"21.07.2021","10,000","10,120","10,190","9,980","698,52K","-1,77%"
"20.07.2021","10,180","10,240","10,330","10,070","948,90K","0,39%"
"19.07.2021","10,140","10,070","10,190","10,030","856,72K","1,40%"
"16.07.2021","10,000","10,150","10,470","9,850","6,47M","-0,60%"
"15.07.2021","10,060","9,980","10,380","9,910","11,78M","0,60%"
"14.07.2021","10,000","10,050","10,050","9,880","3,36M","-0,50%"
"13.07.2021","10,050","10,120","10,170","10,000","201,66K","-0,69%"
"12.07.2021","10,120","10,140","10,150","9,960","1,18M","-0,69%"
"08.07.2021","10,190","10,240","10,280","10,020","2,33M","1,09%"
"07.07.2021","10,080","10,040","10,190","10,030","571,58K","0,90%"
"06.07.2021","9,990","9,880","10,080","9,880","1,49M","2,15%"
"05.07.2021","9,780","9,720","9,850","9,700","229,49K","0,82%"
"02.07.2021","9,700","9,600","9,710","9,560","1,01M","1,25%"
