"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.08.2021","43,06","42,85","43,44","42,85","95,16K","-0,21%"
"17.08.2021","43,15","45,03","45,25","43,15","901,38K","-2,60%"
"16.08.2021","44,30","45,54","45,90","44,00","1,18M","-1,56%"
"13.08.2021","45,00","44,20","45,00","44,00","2,04M","5,34%"
"12.08.2021","42,72","43,07","43,10","41,77","698,82K","-3,81%"
"11.08.2021","44,41","43,40","44,50","43,40","1,52M","3,28%"
"10.08.2021","43,00","43,80","44,00","42,01","1,52M","-1,49%"
"09.08.2021","43,65","42,16","44,00","42,16","2,16M","9,13%"
"06.08.2021","40,00","38,58","40,30","38,39","1,41M","4,99%"
"05.08.2021","38,10","35,69","38,38","35,15","1,27M","2,75%"
"04.08.2021","37,08","36,10","37,44","35,72","1,16M","5,28%"
"03.08.2021","35,22","35,99","36,40","34,68","2,06M","-2,68%"
"02.08.2021","36,19","36,02","36,94","36,02","927,46K","0,47%"
"30.07.2021","36,02","34,36","36,02","34,36","887,68K","3,80%"
"29.07.2021","34,70","35,36","35,36","34,64","541,30K","-1,89%"
"28.07.2021","35,37","35,51","35,85","34,86","1,06M","3,18%"
"27.07.2021","34,28","34,56","34,99","33,75","920,39K","-2,36%"
"26.07.2021","35,11","34,90","36,36","34,42","4,47M","17,70%"
"23.07.2021","29,83","30,05","30,32","29,63","563,91K","-0,83%"
"22.07.2021","30,08","29,90","30,28","29,71","762,77K","2,70%"
"21.07.2021","29,29","29,22","30,43","29,13","1,44M","5,89%"
"20.07.2021","27,66","27,55","27,91","27,27","1,20M","-2,43%"
"19.07.2021","28,35","28,24","28,47","27,90","709,73K","-2,14%"
"16.07.2021","28,97","28,80","29,15","28,71","552,70K","0,63%"
"15.07.2021","28,79","28,59","29,00","28,43","1,22M","-2,70%"
"14.07.2021","29,59","29,50","29,99","29,30","754,70K","0,27%"
"13.07.2021","29,51","30,15","30,35","29,51","1,04M","-2,51%"
"12.07.2021","30,27","31,56","31,88","30,27","2,49M","-3,75%"
"08.07.2021","31,45","31,36","31,65","31,15","1,21M","-6,09%"
"07.07.2021","33,49","33,38","33,60","33,15","595,49K","2,73%"
"06.07.2021","32,60","32,21","32,67","32,00","1,39M","2,84%"
"05.07.2021","31,70","30,70","31,70","30,70","948,75K","4,48%"
"02.07.2021","30,34","30,11","30,64","29,73","1,17M","0,76%"
"01.07.2021","30,11","30,27","30,48","29,80","2,29M","-4,38%"
"30.06.2021","31,49","30,99","31,49","30,43","1,16M","-1,56%"
"29.06.2021","31,99","31,58","32,10","31,56","1,93M","6,03%"
"28.06.2021","30,17","29,82","30,70","29,61","3,17M","8,33%"
"25.06.2021","27,85","28,36","28,70","27,37","4,56M","-7,20%"
"24.06.2021","30,01","29,40","30,31","29,23","1,57M","4,38%"
"23.06.2021","28,75","30,00","30,49","28,75","3,23M","0,84%"
"22.06.2021","28,51","27,13","29,25","26,10","6,83M","-2,03%"
"21.06.2021","29,10","29,11","30,00","28,90","8,38M","-10,05%"
"18.06.2021","32,35","33,70","33,82","31,98","2,90M","-4,85%"
"17.06.2021","34,00","35,40","35,40","33,92","2,22M","-5,56%"
"16.06.2021","36,00","35,90","36,00","34,74","1,83M","-1,07%"
"15.06.2021","36,39","36,96","37,70","36,36","1,41M","-0,36%"
"14.06.2021","36,52","37,00","37,53","36,32","2,22M","5,18%"
"11.06.2021","34,72","34,99","35,26","34,31","924,61K","0,78%"
"10.06.2021","34,45","35,53","35,74","34,18","1,67M","-0,43%"
"09.06.2021","34,60","33,60","35,36","33,13","3,27M","6,79%"
"08.06.2021","32,40","32,40","32,43","30,16","7,14M","-7,16%"
"07.06.2021","34,90","36,21","36,30","34,62","1,56M","-1,55%"
"04.06.2021","35,45","35,80","36,10","35,09","1,70M","-3,56%"
"02.06.2021","36,76","36,35","37,22","36,34","1,56M","4,55%"
"01.06.2021","35,16","35,60","36,60","35,10","2,08M","-2,87%"
"31.05.2021","36,20","36,25","37,34","35,89","1,66M","2,03%"
"28.05.2021","35,48","37,40","37,90","35,40","4,08M","-9,26%"
"27.05.2021","39,10","39,50","40,60","39,00","1,39M","1,16%"
"26.05.2021","38,65","39,40","39,77","38,31","2,29M","3,67%"
"25.05.2021","37,28","37,79","38,30","37,12","2,35M","-5,02%"
"24.05.2021","39,25","37,35","39,40","36,60","3,17M","8,73%"
"21.05.2021","36,10","40,80","41,60","36,00","4,97M","-11,41%"
"20.05.2021","40,75","42,97","43,74","39,30","3,34M","-0,85%"
"19.05.2021","41,10","37,30","41,50","37,06","8,39M","-9,71%"
"18.05.2021","45,52","46,90","47,30","45,33","1,55M","-2,67%"
"17.05.2021","46,77","48,23","48,50","44,44","4,15M","-11,60%"
"14.05.2021","52,91","52,80","54,10","52,50","849,38K","3,79%"
"13.05.2021","50,98","52,50","53,00","49,75","2,94M","-9,69%"
"12.05.2021","56,45","57,72","58,70","56,00","866,95K","-1,48%"
"11.05.2021","57,30","56,45","58,18","55,63","608,21K","1,25%"
"10.05.2021","56,59","57,10","58,88","56,50","834,48K","1,43%"
"07.05.2021","55,79","56,10","56,43","55,00","458,53K","0,34%"
"06.05.2021","55,60","56,20","56,49","55,29","571,11K","-0,63%"
"05.05.2021","55,95","55,17","56,08","54,61","661,52K","3,04%"
"04.05.2021","54,30","55,50","55,89","53,10","879,62K","-0,91%"
"03.05.2021","54,80","54,85","55,00","54,32","816,24K","4,08%"
"30.04.2021","52,65","50,53","53,00","50,06","733,12K","6,47%"
"29.04.2021","49,45","51,29","51,29","49,45","934,53K","-4,17%"
"28.04.2021","51,60","51,70","51,98","50,50","814,48K","-0,12%"
"27.04.2021","51,66","54,45","58,00","50,78","2,77M","-2,71%"
