"Data","Último","Abertura","Máxima","Mínima","Var%"
"17.08.2021","10.785,177","10.785,177","10.785,177","10.785,177","0,02%"
"16.08.2021","10.783,554","10.783,554","10.783,554","10.783,554","0,02%"
"13.08.2021","10.781,931","10.781,931","10.781,931","10.781,931","-0,00%"
"12.08.2021","10.782,094","10.782,094","10.782,094","10.782,094","0,01%"
"11.08.2021","10.780,843","10.780,843","10.780,843","10.780,843","0,01%"
"10.08.2021","10.779,526","10.779,526","10.779,526","10.779,526","0,01%"
"09.08.2021","10.778,627","10.778,627","10.778,627","10.778,627","0,01%"
"06.08.2021","10.777,432","10.777,432","10.777,432","10.777,432","0,01%"
"05.08.2021","10.776,651","10.776,651","10.776,651","10.776,651","0,02%"
"04.08.2021","10.774,979","10.774,979","10.774,979","10.774,979","0,00%"
"03.08.2021","10.774,968","10.774,968","10.774,968","10.774,968","0,00%"
"02.08.2021","10.774,903","10.774,903","10.774,903","10.774,903","0,01%"
"30.07.2021","10.773,711","10.773,711","10.773,711","10.773,711","0,00%"
"29.07.2021","10.773,471","10.773,471","10.773,471","10.773,471","0,02%"
"28.07.2021","10.771,623","10.771,623","10.771,623","10.771,623","0,03%"
"27.07.2021","10.768,749","10.768,749","10.768,749","10.768,749","0,04%"
"26.07.2021","10.763,907","10.763,907","10.763,907","10.763,907","0,03%"
"23.07.2021","10.760,619","10.760,619","10.760,619","10.760,619","0,03%"
"22.07.2021","10.757,201","10.757,201","10.757,201","10.757,201","0,04%"
"21.07.2021","10.752,778","10.752,778","10.752,778","10.752,778","0,03%"
"20.07.2021","10.749,241","10.749,241","10.749,241","10.749,241","0,02%"
"19.07.2021","10.746,666","10.746,666","10.746,666","10.746,666","0,04%"
"16.07.2021","10.742,225","10.739,466","10.742,225","10.739,466","0,03%"
"15.07.2021","10.739,466","10.739,466","10.739,466","10.739,466","0,03%"
"14.07.2021","10.736,772","10.736,772","10.736,772","10.736,772","0,04%"
"13.07.2021","10.732,574","10.732,574","10.732,574","10.732,574","0,03%"
"12.07.2021","10.729,511","10.729,511","10.729,511","10.729,511","0,02%"
"09.07.2021","10.727,660","10.727,660","10.727,660","10.727,660","0,02%"
"08.07.2021","10.725,798","10.725,798","10.725,798","10.725,798","0,02%"
"07.07.2021","10.724,122","10.724,122","10.724,122","10.724,122","0,02%"
"06.07.2021","10.722,207","10.722,207","10.722,207","10.722,207","0,02%"
"05.07.2021","10.719,801","10.719,801","10.719,801","10.719,801","0,02%"
"02.07.2021","10.717,886","10.717,886","10.717,886","10.717,886","0,02%"
"01.07.2021","10.715,492","10.715,492","10.715,492","10.715,492","0,03%"
"30.06.2021","10.712,662","10.712,662","10.712,662","10.712,662","0,03%"
"29.06.2021","10.709,365","10.709,365","10.709,365","10.709,365","0,03%"
