"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.08.2021","123,04","123,00","123,49","122,60","4,26K","0,20%"
"17.08.2021","122,79","124,12","124,39","122,57","30,84K","-1,07%"
"16.08.2021","124,12","125,00","125,48","124,12","27,34K","-0,70%"
"13.08.2021","125,00","124,11","125,60","124,11","22,88K","0,81%"
"12.08.2021","124,00","125,20","125,90","124,00","30,01K","-1,58%"
"11.08.2021","125,99","127,50","127,63","125,00","36,34K","-0,80%"
"10.08.2021","127,01","128,51","129,60","127,01","27,00K","-1,16%"
"09.08.2021","128,50","130,39","130,39","128,17","36,05K","-1,15%"
"06.08.2021","129,99","129,01","130,49","128,06","40,89K","0,77%"
"05.08.2021","129,00","129,20","129,89","127,92","29,12K","-0,06%"
"04.08.2021","129,08","130,25","130,50","128,62","24,47K","-0,71%"
"03.08.2021","130,00","130,34","131,31","128,67","23,05K","-0,26%"
"02.08.2021","130,34","132,12","132,49","130,14","26,34K","-2,15%"
"30.07.2021","133,20","133,14","133,61","133,00","19,14K","0,15%"
"29.07.2021","133,00","133,00","133,89","132,60","28,24K","0,00%"
"28.07.2021","133,00","133,02","133,90","133,00","25,18K","-0,17%"
"27.07.2021","133,22","132,60","133,60","132,18","27,29K","0,80%"
"26.07.2021","132,16","133,21","133,58","132,16","25,00K","-0,63%"
"23.07.2021","133,00","133,50","133,90","132,34","30,37K","-0,37%"
"22.07.2021","133,50","133,50","133,89","133,40","20,37K","0,07%"
"21.07.2021","133,40","133,50","133,69","133,00","23,96K","-0,07%"
"20.07.2021","133,50","132,93","133,70","132,10","33,12K","0,23%"
"19.07.2021","133,20","133,50","133,80","132,23","33,97K","-0,17%"
"16.07.2021","133,43","133,58","133,75","132,51","26,92K","-0,11%"
"15.07.2021","133,58","132,40","133,58","132,40","20,21K","0,45%"
"14.07.2021","132,98","132,40","132,98","132,02","36,60K","0,44%"
"13.07.2021","132,40","131,50","132,98","131,50","24,70K","0,81%"
"12.07.2021","131,33","130,00","131,47","129,55","42,49K","1,02%"
"08.07.2021","130,00","129,21","130,00","129,20","20,92K","0,04%"
"07.07.2021","129,95","129,00","130,29","128,84","23,15K","0,87%"
"06.07.2021","128,83","129,00","129,29","128,81","20,29K","-0,06%"
"05.07.2021","128,91","129,60","129,96","128,53","18,13K","-0,66%"
"02.07.2021","129,77","129,00","130,00","128,01","31,99K","0,76%"
"01.07.2021","128,79","130,97","131,39","128,61","35,73K","-2,36%"
"30.06.2021","131,90","132,20","132,29","131,25","28,00K","-0,30%"
"29.06.2021","132,30","130,00","132,79","129,60","37,68K","2,16%"
"28.06.2021","129,50","129,00","129,77","124,00","83,65K","-0,77%"
"25.06.2021","130,50","133,53","134,70","125,00","101,93K","-2,25%"
"24.06.2021","133,51","132,02","134,32","132,02","30,89K","0,51%"
"23.06.2021","132,83","133,79","133,94","131,00","36,88K","-0,84%"
"22.06.2021","133,95","134,06","134,70","133,52","46,86K","-0,15%"
"21.06.2021","134,15","134,45","134,69","134,00","33,57K","-0,22%"
"18.06.2021","134,45","134,21","134,59","134,21","33,18K","0,18%"
"17.06.2021","134,21","135,00","135,20","134,05","37,61K","-0,59%"
"16.06.2021","135,00","135,16","135,50","134,52","47,14K","0,00%"
"15.06.2021","135,00","135,06","135,43","134,61","31,76K","-0,32%"
"14.06.2021","135,44","134,90","135,48","134,49","34,94K","0,36%"
