"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"18.08.2021","8,96","8,80","9,03","8,80","1,84M","2,52%"
"17.08.2021","8,74","8,75","8,80","8,68","794,82K","-2,67%"
"16.08.2021","8,98","9,00","9,04","8,85","1,66M","-1,43%"
"13.08.2021","9,11","9,16","9,18","9,06","256,57K","-0,55%"
"12.08.2021","9,16","9,25","9,25","9,09","234,56K","-1,40%"
"11.08.2021","9,29","9,15","9,29","9,15","264,30K","0,98%"
"10.08.2021","9,20","9,26","9,37","9,19","215,04K","-0,11%"
"09.08.2021","9,21","9,07","9,31","9,06","873,67K","1,54%"
"06.08.2021","9,07","9,16","9,16","8,98","405,69K","-0,33%"
"05.08.2021","9,10","9,01","9,15","8,91","327,31K","-0,55%"
"04.08.2021","9,15","9,08","9,26","9,08","296,94K","1,10%"
"03.08.2021","9,05","9,14","9,18","9,00","460,56K","-0,98%"
"02.08.2021","9,14","8,98","9,14","8,98","527,91K","0,66%"
"30.07.2021","9,08","8,93","9,08","8,65","1,74M","1,91%"
"29.07.2021","8,91","9,15","9,15","8,81","823,65K","-0,78%"
"28.07.2021","8,98","8,73","9,09","8,73","907,16K","4,66%"
"27.07.2021","8,58","8,62","8,69","8,36","4,14M","-4,13%"
"26.07.2021","8,95","9,22","9,22","8,83","1,46M","-5,89%"
"23.07.2021","9,51","9,75","9,75","9,38","831,46K","-3,65%"
"22.07.2021","9,87","9,83","9,89","9,78","118,69K","0,51%"
"21.07.2021","9,82","9,83","9,91","9,78","145,36K","-0,41%"
"20.07.2021","9,86","9,80","9,86","9,74","3,64M","0,31%"
"19.07.2021","9,83","9,69","9,85","9,66","392,20K","0,82%"
"16.07.2021","9,75","9,87","9,88","9,68","211,83K","-1,42%"
"15.07.2021","9,89","9,70","9,89","9,70","2,16M","1,64%"
"14.07.2021","9,73","9,91","9,95","9,68","898,07K","-2,21%"
"13.07.2021","9,95","9,87","9,97","9,87","197,72K","1,43%"
"12.07.2021","9,81","9,92","9,94","9,77","178,48K","0,72%"
"08.07.2021","9,74","9,79","9,79","9,63","480,43K","-1,91%"
"07.07.2021","9,93","9,93","10,10","9,93","558,15K","0,00%"
"06.07.2021","9,93","9,85","9,99","9,85","482,61K","0,81%"
"05.07.2021","9,85","9,94","9,95","9,74","191,37K","-0,81%"
"02.07.2021","9,93","10,00","10,00","9,84","346,63K","-1,88%"
"01.07.2021","10,12","10,03","10,12","10,00","2,11M","1,20%"
"30.06.2021","10,00","10,03","10,13","10,00","476,67K","-0,30%"
"29.06.2021","10,03","10,05","10,05","9,91","396,94K","-0,20%"
"28.06.2021","10,05","9,93","10,12","9,93","562,41K","1,21%"
"25.06.2021","9,93","9,90","10,05","9,88","318,83K","0,71%"
"24.06.2021","9,86","9,85","9,86","9,76","741,37K","0,31%"
"23.06.2021","9,83","9,72","9,86","9,67","504,44K","1,13%"
