date,open,high,low,close
8/14/2019,109.46,109.51,109.16,109.44
8/15/2019,109.51,109.99,109.51,109.63
8/16/2019,109.63,111.08,109.63,111.01
8/19/2019,110.7,111.1,107.93,111.1
8/20/2019,110.71,111.1,109.47,110.36
8/21/2019,109.44,110.35,109.12,109.99
8/22/2019,109.99,110.3,109.2,110.03
8/23/2019,109.99,110.03,109.12,110.03
8/26/2019,110,111.08,109.16,109.93
8/27/2019,110.69,111.07,109.75,109.75
8/28/2019,110.62,110.62,109.34,109.34
8/29/2019,109.34,110.62,108.72,109.12
8/30/2019,110.04,110.15,108.88,109.08
9/2/2019,110.48,110.49,109,109.15
9/3/2019,109,110.99,109,109.11
9/4/2019,110.15,110.2,109.11,109.12
9/5/2019,110.03,110.03,109,109.24
9/6/2019,109.41,109.8,109.08,109.21
9/9/2019,109.21,109.8,109,109.4
9/10/2019,109.71,109.71,109.16,109.36
9/11/2019,109.44,109.64,109.27,109.28
9/12/2019,109.29,109.64,109.16,109.4
9/13/2019,109.41,110,109.4,109.58
9/16/2019,109.4,109.9,109.24,109.8
9/17/2019,109.45,110,109.45,109.8
9/18/2019,110.15,110.16,109.83,109.85
9/19/2019,110.2,110.2,109.89,109.97
9/20/2019,109.97,110.7,109.97,110.2
9/23/2019,110.71,110.95,110.15,110.18
9/24/2019,110.18,110.84,110.16,110.39
9/25/2019,110.39,111.4,110.32,110.56
9/26/2019,110.56,111.12,110.53,110.61
9/27/2019,110.61,111.18,110.53,111
9/30/2019,111.15,111.38,110.5,110.5
10/1/2019,111.54,111.54,109.32,110.67
10/2/2019,111.3,111.3,110.2,110.6
10/3/2019,110.61,112.68,110.61,110.88
10/4/2019,112.05,112.12,110.84,110.98
10/7/2019,111.81,111.89,110.92,111.04
10/8/2019,111.72,111.72,111,111.29
10/9/2019,111.29,111.49,106.9,111.23
Thu Oct 10 2019,111.73,111.84,109.48,111.18
Fri Oct 11 2019,111.18,111.18,111.08,111.18
Mon Oct 14 2019,111.19,111.57,111.19,111.21
Tue Oct 15 2019,111.42,111.77,111.42,111.5
Wed Oct 16 2019,111.72,111.73,110.12,111.34
Thu Oct 17 2019,111.31,111.31,110.92,111.24
Fri Oct 18 2019,111.7,111.73,110.76,111.13
Mon Oct 21 2019,111.24,111.24,110.86,110.92
Tue Oct 22 2019,111.08,111.13,110.83,111.13
Wed Oct 23 2019,110.96,111.08,110.76,111.08
Thu Oct 24 2019,111.08,111.29,110.52,110.92
Fri Oct 25 2019,110.92,111.24,110.54,110.86
Mon Oct 28 2019,110.86,110.95,110.44,110.52
Tue Oct 29 2019,110.52,110.92,110.11,110.92
Wed Oct 30 2019,110.92,111.67,110.51,111.67
Thu Oct 31 2019,111.67,112.13,110.84,112.13
11/1/2019,111.68,111.75,110.07,111.04
11/4/2019,111.04,111.04,110.86,110.96
11/5/2019,111.1,111.24,109.97,110.62
11/6/2019,110.62,110.86,109.64,110.86
11/7/2019,110.86,110.86,110.45,110.7
11/8/2019,110.74,110.78,110.29,110.62
Mon Nov 11 2019,110.86,110.86,110.29,110.45
Tue Nov 12 2019,110.45,110.61,109.89,110.21
Wed Nov 13 2019,110.29,110.45,110.24,110.35
Thu Nov 14 2019,110.35,110.86,110.33,110.78
Mon Nov 18 2019,110.85,111.02,110.45,110.86
Tue Nov 19 2019,110.86,111.67,110.79,111.29
Thu Nov 21 2019,112.07,112.47,111.18,111.47
Fri Nov 22 2019,111.47,112.05,111.47,111.99
Mon Nov 25 2019,111.99,117.17,111.99,113.28
Tue Nov 26 2019,113.28,115.71,112.88,113.29
Wed Nov 27 2019,114.1,115.71,113.29,114.03
Thu Nov 28 2019,114.03,115.7,114.03,114.74
Fri Nov 29 2019,114.74,115.59,113.29,114.89
12/2/2019,114.89,114.89,112.05,112.45
12/3/2019,112.86,115.47,112.86,115.28
12/4/2019,115.63,118.15,114.49,115.3
12/5/2019,112.04,112.04,110.51,110.82
12/6/2019,110.82,111.56,110.82,111.39
12/9/2019,111.41,111.63,111.41,111.62
Tue Dec 10 2019,111.62,111.63,111.39,111.63
Wed Dec 11 2019,111.63,111.78,110.91,111.39
Thu Dec 12 2019,111.47,111.56,111.02,111.15
Fri Dec 13 2019,111.16,111.53,111.07,111.47
Mon Dec 16 2019,111.61,111.79,111.47,111.77
Tue Dec 17 2019,111.79,111.8,111.47,111.65
Wed Dec 18 2019,111.65,111.76,111.08,111.74
Thu Dec 19 2019,111.74,111.74,111.26,111.4
Fri Dec 20 2019,111.47,111.47,111.24,111.39
Mon Dec 23 2019,111.43,111.75,111.25,111.74
Thu Dec 26 2019,111.65,113.93,111.65,112.45
Fri Dec 27 2019,112.45,113.92,112.45,113.27
Mon Dec 30 2019,113.27,114.08,112.86,113.68
1/2/2020,114.79,115.19,113.72,114.71
1/3/2020,115.36,115.61,114.95,115.11
1/6/2020,115.11,116.02,115.03,115.03
1/7/2020,116.02,116.02,115.18,115.18
1/8/2020,115.19,115.6,114.59,115.35
1/9/2020,115.35,115.44,114.79,115.11
1/10/2020,115.98,115.98,115.16,115.28
1/13/2020,115.28,115.6,115.12,115.51
1/14/2020,115.52,115.61,115.1,115.44
1/15/2020,115.6,115.6,115.24,115.45
1/16/2020,115.6,115.69,115.2,115.31
1/17/2020,115.24,115.49,115.16,115.4
1/20/2020,115.61,115.79,115.19,115.47
1/21/2020,115.49,115.53,115.03,115.07
1/22/2020,115.07,115.36,114.95,114.95
1/23/2020,114.95,115.15,114.47,114.95
1/24/2020,114.91,115.15,114.91,115.1
1/27/2020,115.15,115.16,114.79,115.14
1/28/2020,115.16,115.16,114.37,115.03
1/29/2020,114.88,115.73,114.87,115.03
1/30/2020,115.06,115.86,114.48,115.26
1/31/2020,115.2,115.53,114.83,114.93
2/3/2020,114.84,114.84,112.78,113.68
2/4/2020,113.2,113.6,113.19,113.25
2/5/2020,113.6,113.95,113.19,113.19
2/6/2020,113.19,113.56,111.95,112.94
2/7/2020,112.79,113.08,111.95,112.03
2/10/2020,112.17,112.61,110.6,111.12
2/11/2020,111.5,113.19,111.12,113.11
2/12/2020,112.37,112.84,111.54,112.84
2/13/2020,111.58,113.02,111.54,112.86
2/14/2020,112.84,113.19,112.49,113.11
2/17/2020,113.17,113.76,112.49,113.76
2/18/2020,113.75,113.75,112.57,112.86
2/19/2020,112.86,112.86,112.31,112.86
